train_no,departure,arrival,platform,destination,delay_mins,reason,feedback,sentiment
123,06:00,07:15,3,New York,20,signal failure,"Train 123 is always late, terrible service!",-0.5255
123,06:00,07:15,3,New York,0,,"Train 123 is always late, terrible service!",-0.5255
456,06:30,08:00,5,Boston,15,weather,"Train 456 was delayed again, but the staff were nice.",0.5023
100,07:00,08:30,2,Chicago,0,,"Train 100 arrived on time, great experience.",0.6249
101,07:30,09:15,4,Washington,0,,No feedback available,-0.296
102,08:00,09:45,6,Philadelphia,30,mechanical issue,"Train 102 had a long delay, very frustrating.",-0.6697
103,08:30,10:15,1,Miami,10,track maintenance,No feedback available,-0.296
104,09:00,11:00,7,Los Angeles,0,,No feedback available,-0.296
105,09:30,11:15,3,Houston,0,,No feedback available,-0.296
106,10:00,11:30,5,Seattle,25,signal failure,"Train 106 was slightly late, but manageable.",0.0
107,10:30,12:45,2,Denver,0,,No feedback available,-0.296
108,11:00,12:15,8,New York,45,weather,"Train 108 took forever, awful weather excuse.",-0.4019
109,11:30,13:00,4,Boston,0,,No feedback available,-0.296
110,12:00,13:30,6,Chicago,15,staff shortage,"Train 110 staff handled the delay well, kudos.",0.4767
111,12:30,14:15,9,Washington,0,,No feedback available,-0.296
112,13:00,14:45,1,Philadelphia,20,mechanical issue,"Train 112 broke down, worst trip ever.",-0.7845
113,13:30,15:00,3,Miami,0,,No feedback available,-0.296
114,14:00,15:30,5,Los Angeles,35,track maintenance,Train 114 was a mess due to maintenance.,-0.3612
115,14:30,16:15,7,Houston,0,,No feedback available,-0.296
116,15:00,16:30,2,Seattle,10,weather,No feedback available,-0.296
117,15:30,17:00,4,Denver,0,,No feedback available,-0.296
118,16:00,17:45,6,New York,50,signal failure,"Train 118 delay was short, no big deal.",-0.5423
119,16:30,18:15,8,Boston,0,,No feedback available,-0.296
120,17:00,18:30,1,Chicago,15,staff shortage,"Train 120 got delayed, but communication was good.",0.5267
121,17:30,19:00,3,Washington,0,,No feedback available,-0.296
